Season,Episode,Game,Round,A or B,Question,Contestant,Contestant Answer,Panelist 1,Panelist 1 Answer,Panelist 1 Matched,Panelist 2,Panelist 2 Answer,Panelist 2 Matched,Panelist 3,Panelist 3 Answer,Panelist 3 Matched,Panelist 4,Panelist 4 Answer,Panelist 4 Matched,Panelist 5,Panelist 5 Answer,Panelist 5 Matched,Panelist 6,Panelist 6 Answer,Panelist 6 Matched
73,12,20,1,B,A camel has more blank than a human being.,Roger Kissell,humps,Bert Convy,stomach,no,Jaye P. Morgan,humps,yes,Charles Nelson Reilly,teeth,no,Brett Somers,humps,yes,Richard Dawson,stomachs,no,Betty White,humps,yes
73,12,20,2,A,Nobody knows Mary's real blank.,Fern Zaylen,name,Bert Convy,name,yes,Jaye P. Morgan,hair color,no,Charles Nelson Reilly,name,yes,Brett Somers,age,no,Richard Dawson,name,yes,,,
73,12,20,2,B,"If John spent more than five minutes with his blank, he got a headache.",Roger Kissell,mother-in-law,Bert Convy,children,no,,,,Charles Nelson Reilly,wife,no,,,,Richard Dawson,boss,no,,,
73,13,21,1,B,"John said, ""I'll apologize up front, folks, but beer makes me blank.""",Michelle Baylen,belch,Bert Convy,burp,yes,Jaye P. Morgan,burp,yes,Charles Nelson Reilly,burp,yes,Brett Somers,belch,yes,Richard Dawson,burp,yes,Betty White,burp,yes
73,13,21,1,A,The first thing Mary saw when she woke up was blank.,Fern Zaylen,her husband,Bert Convy,her husband,yes,Jaye P. Morgan,her feet,no,Charles Nelson Reilly,"john, married 2 years",yes,Brett Somers,the sun,no,Richard Dawson,john,no,Betty White,her husband,yes
73,13,21,2,B,"John said to Harry, ""I don't want anyone to know it, but I'm dating the boss's blank.""",Fern Zaylen,wife,,,,Jaye P. Morgan,wife,yes,,,,Brett Somers,wife,yes,Richard Dawson,daughter,no,,,
73,13,22,1,B,John was upset when he learned they were going to open a blank next door.,Cheryl Christianson,bar,Bert Convy,massage parlor,no,Jaye P. Morgan,car wash,no,Charles Nelson Reilly,liquor store,no,Brett Somers,funeral parlor,no,Richard Dawson,bowling alley,no,Betty White,bar,yes
73,13,22,1,A,Mary's blank was lumpy.,Michelle Baylen,mashed potatoes,Bert Convy,skin,no,Jaye P. Morgan,tummy,no,Charles Nelson Reilly,mashed potatoes,yes,Brett Somers,legs,no,Richard Dawson,bed,no,Betty White,bed,no
73,14,22,2,B,John usually blanks in the shower.,Cheryl Christianson,sings,Bert Convy,sings,yes,Jaye P. Morgan,sings,yes,Charles Nelson Reilly,sings,yes,Brett Somers,scrubs,no,Richard Dawson,sings,yes,,,
73,14,22,2,A,Rocco came home with blank on his tie.,Michelle Baylen,lipstick,Bert Convy,meat sauce,no,Jaye P. Morgan,pasta,no,,,,,,,,,,,,
73,14,23,1,B,"Sally said to the man at the door, ""I can't let you in because blank.""",Jeff Nichols,my husband's home,Bert Convy,my husband is at home,yes,Jaye P. Morgan,drunk,no,Charles Nelson Reilly,he's here,no,Brett Somers,my husband's home,yes,Richard Dawson,i'm not at home,no,Betty White,i'm alone,no
73,14,23,1,A,Mary has never seen John's blank.,Cheryl Christianson,secretary,Bert Convy,wife,no,Jaye P. Morgan,birthmark,no,Charles Nelson Reilly,dog,no,Brett Somers,apartment,no,Richard Dawson,belly button,no,Betty White,office,no
73,14,23,2,B,"During the summer, John grew a blank.",Jeff Nichols,mustache,,,,Jaye P. Morgan,beard,no,Charles Nelson Reilly,beard,no,,,,Richard Dawson,beard,no,Betty White,beard,no
73,14,23,2,A,"Yesterday, Mary blanked her wedding dress.",Cheryl Christianson,sold,Bert Convy,bought,no,Jaye P. Morgan,washed,no,Charles Nelson Reilly,burned,no,Brett Somers,burned,no,Richard Dawson,wore,no,,,
73,15,24,1,B,"""Johnny!"" his mother screamed. ""Who ever heard of a blank for a pet?""",Toni Sams,zebra,Bert Convy,frog,no,Jaye P. Morgan,snake,no,Charles Nelson Reilly,snake,no,Brett Somers,lion,no,Richard Dawson,alligator,no,Betty White,spider,no
73,15,24,1,A,"John said to Jack, ""Keep your hands off my blank.""",Jeff Nichols,wife,Bert Convy,wife,yes,Jaye P. Morgan,gun,no,Charles Nelson Reilly,girl,no,Brett Somers,wife,yes,Richard Dawson,wife,yes,Betty White,wife,yes
73,15,24,2,A,Mary never wears blank.,Toni Sams,undies,Bert Convy,underwear,yes,Jaye P. Morgan,bra and panties,no,Charles Nelson Reilly,makeup,no,Brett Somers,a girdle,no,,,,,,
73,15,25,1,A,Mary had a cold blank.,Joan DeYoung,in her nose,Bert Convy,nose,no,Jaye P. Morgan,nose,no,Charles Nelson Reilly,car,no,Brett Somers,nose,no,Richard Dawson,behind,no,Betty White,lunch,no
73,15,25,1,B,Mary never told anyone her blanks were fake.,Jeff Nichols,busts,Bert Convy,boobs,yes,Jaye P. Morgan,boobies,yes,Charles Nelson Reilly,diamonds,no,Brett Somers,eyelashes,no,Richard Dawson,eyelashes,no,Betty White,bosoms,yes
73,16,25,2,A,"Helen said to Peter, ""Why didn't you tell me the blank was wet?""",Joan DeYoung,floor,Dick Gautier,sand,no,Barbara Stuart,baby,no,Jack Carter,bed,no,Jo Ann Pflug,bench,no,Richard Dawson,floor,yes,Shelley Winters,floor,yes
73,16,26,1,B,"Frank said, ""I'm sick and tired of that dog blanking on my favorite chair.""",Dottie Bird,sitting,Dick Gautier,shedding,no,Barbara Stuart,urinating,no,Jack Carter,sleeping,no,Jo Ann Pflug,sitting,yes,Richard Dawson,sitting,yes,Shelley Winters,shedding,no
73,16,26,1,A,"One caveman asked another, ""Can I borrow your blank?""",Jeff Nichols,wife,Dick Gautier,club,no,Barbara Stuart,club,no,Jack Carter,club,no,Jo Ann Pflug,club,no,Richard Dawson,club,no,Shelley Winters,wife,yes
73,16,26,2,B,John decided to get the blank taken off his chest.,Dottie Bird,tattoo,Dick Gautier,tattoo,yes,Barbara Stuart,hair,no,Jack Carter,hair,no,,,,,,,Shelley Winters,hair,no
73,16,26,2,A,Arthur was so blank he couldn't get into Fannie's car.,Jeff Nichols,drunk,Dick Gautier,fat,no,Barbara Stuart,fat,no,Jack Carter,drunk,yes,Jo Ann Pflug,drunk,yes,Richard Dawson,fat,no,,,
73,16,26,tie1,B,Name a TV news commentator.,Dottie Bird,george putnam,Dick Gautier,cronkite,no,Barbara Stuart,jerry dunphy,no,Jack Carter,jerry dunphy,no,Jo Ann Pflug,walter cronkite,no,Richard Dawson,cronkite,no,Shelley Winters,brinkley,no
73,16,26,tie1,A,Name a TV detective.,Jeff Nichols,manix,Dick Gautier,cannon,no,Barbara Stuart,manix,yes,,,,,,,,,,,,
73,17,27,1,B,Tom and Sally like to blank in front of the fire.,Debbie Holmer,sit,Dick Gautier,snuggle,no,Shelley Winters,roast chestnuts,no,Jack Carter,cuddle,no,Jo Ann Pflug,sit,yes,Richard Dawson,kiss,no,Barbara Stuart,sit,yes
73,17,27,1,A,"Superman said, ""I'm glad I have x-ray vision because I can see through blank.""",Jeff Nichols,walls,Dick Gautier,walls,yes,Shelley Winters,walls,yes,Jack Carter,walls,yes,Jo Ann Pflug,walls,yes,Richard Dawson,dresses,no,Barbara Stuart,buildings,no
73,17,27,2,B,"As a traveling salesman, Ira picks up a lot of blanks.",Debbie Holmer,girls,Dick Gautier,diseases,no,Shelley Winters,girls,yes,Jack Carter,call girls,yes,,,,Richard Dawson,girls,yes,,,
73,17,27,2,A,Mary was a blank dancer.,Jeff Nichols,good,,,,,,,,,,,,,Richard Dawson,belly,no,Barbara Stuart,great,yes
73,17,27,tie1,B,Name a rich man.,Debbie Holmer,rockefeller,Dick Gautier,howard hughes,no,Shelley Winters,getty,no,Jack Carter,j. paul getty,no,Jo Ann Pflug,j. paul getty,no,Richard Dawson,j. p. getty,no,Barbara Stuart,j. p. getty,no
73,17,27,tie1,A,Name a school subject most kids find difficult.,Jeff Nichols,math,Dick Gautier,math,yes,Shelley Winters,math,yes,Jack Carter,math,yes,Jo Ann Pflug,math,yes,Richard Dawson,math,yes,Barbara Stuart,math,yes
73,18,28,1,A,"Dear sirs, please cancel my subscription. I won't read any magazine that has blank as the centerfold.",Helena Littlefield,a nude girl,Dick Gautier,george maharis,no,Barbara Stuart,a nude,no,Jack Carter,a naked man,no,Jo Ann Pflug,nudes,no,Richard Dawson,nudes,no,Shelley Winters,burt reynolds,no
73,18,28,1,B,"Mark said to Suzanne, ""Let's take a blank together.""",Jeff Nichols,nap,Dick Gautier,shower,no,Barbara Stuart,walk,no,Jack Carter,swim,no,Jo Ann Pflug,walk,no,Richard Dawson,shower,no,Shelley Winters,trip,no
73,18,28,2,A,Anyone who wears a tuxedo in the afternoon must be a blank.,Helena Littlefield,actor,Dick Gautier,penguin,no,Barbara Stuart,jerk,no,Jack Carter,actor,yes,Jo Ann Pflug,waiter,no,Richard Dawson,waiter,no,Shelley Winters,waiter,no
73,18,28,2,B,Grandpa keeps his blank on a table next to his bed.,Jeff Nichols,teeth,Dick Gautier,teeth,yes,Barbara Stuart,teeth,yes,Jack Carter,teeth,yes,Jo Ann Pflug,teeth,yes,Richard Dawson,teeth,yes,Shelley Winters,teeth,yes
73,18,29,1,B,Mary never could stop after just one blank.,Donna Wiser,peanut,Dick Gautier,peanut,yes,Barbara Stuart,bite,no,Jack Carter,martini,no,Jo Ann Pflug,potato chip,no,Richard Dawson,bite,no,Shelley Winters,drink,no
73,18,29,1,A,Grandma remembers when Grandpa still had blank.,Jeff Nichols,all his hair,Dick Gautier,hair,yes,Barbara Stuart,passion,no,Jack Carter,hair,yes,Jo Ann Pflug,hair,yes,Richard Dawson,hair,yes,Shelley Winters,hair,yes
73,19,29,2,A,John wouldn't mind being shipwrecked on a desert isle with blank.,Donna Wiser,a beautiful girl,,,,Barbara Stuart,raquel welch,no,Jack Carter,raquel welch,no,,,,,,,,,
73,19,30,1,B,The last thing Helen does before going to bed is blank.,Helen Molnar,brush her teeth,Dick Gautier,turn out the light,no,Barbara Stuart,brushing her teeth,yes,Jack Carter,shower,no,Jo Ann Pflug,brush her teeth,yes,Richard Dawson,prayers,no,Shelley Winters,put out the cat,no
73,19,30,1,A,Doris was surprised when she discovered her husband was a blank.,Jeff Nichols,swinger,Dick Gautier,fag,no,Barbara Stuart,fag,no,Jack Carter,girl,no,Jo Ann Pflug,alcoholic,no,Richard Dawson,lady,no,Shelley Winters,rich man,no
73,19,30,2,B,Melvin got his blank caught in a revolving door.,Helen Molnar,coat,Dick Gautier,tie,no,,,,Jack Carter,arm,no,,,,Richard Dawson,tie,no,Shelley Winters,blank,no
73,19,30,2,A,Susie got blank the night of her graduation.,Jeff Nichols,kissed,Dick Gautier,pregnant,no,Barbara Stuart,stoned,no,Jack Carter,pregnant,no,Jo Ann Pflug,drunk,no,Richard Dawson,goosed,no,,,
73,20,31,1,B,Norma just had a baby. Now she would like a blank.,Patty Pechet,husband,Dick Gautier,rest,no,Barbara Stuart,babysitter,no,Jack Carter,another,no,Jo Ann Pflug,rest,no,Richard Dawson,rest,no,Shelley Winters,husband,yes
73,20,31,1,A,The highlight of the party was when Raquel decided to blank.,Helen Molnar,strip,Dick Gautier,strip,yes,Barbara Stuart,take her clothes off,yes,Jack Carter,strip,yes,Jo Ann Pflug,strip,yes,Richard Dawson,strip,yes,Shelley Winters,strip,yes
73,20,31,2,B,Percy's hobby was watching blanks through binoculars.,Patty Pechet,girls,Dick Gautier,nudists,no,Barbara Stuart,girls,yes,Jack Carter,girls,yes,Jo Ann Pflug,girls,yes,Richard Dawson,birds,no,,,
